date,closePrice,simpleAvg,pe,cases,deaths,atr
2020-01-21,221.44,221.44,30.334246575342465,1,0,3.2832
2020-01-22,221.32,221.38,30.317808219178083,1,0,3.1537
2020-01-23,219.76,220.84,30.104109589041094,1,0,3.0866
2020-01-24,217.94,220.115,29.854794520547944,2,0,3.2712
2020-01-27,214.87,219.06599999999997,29.434246575342467,5,0,3.4261
2020-01-28,217.79,218.33599999999996,29.834246575342465,5,0,3.5542
2020-01-29,223.23,218.718,30.57945205479452,5,0,3.7582
2020-01-30,209.53,216.67199999999997,28.7027397260274,6,0,4.8097
2020-01-31,201.91,213.46599999999998,27.65890410958904,7,0,5.0712
2020-02-03,204.19,211.33,27.971232876712328,11,0,4.9397
2020-02-04,209.83,209.73799999999997,28.743835616438357,11,0,5.0447
2020-02-05,210.11,207.11400000000003,28.782191780821922,12,0,4.9715
2020-02-06,210.85,207.37800000000001,28.883561643835616,12,0,4.7487
2020-02-07,212.33,209.462,29.086301369863016,12,0,4.6159
2020-02-10,213.06,211.23600000000002,29.186301369863013,13,0,4.5105
2020-02-11,207.19,210.708,28.38219178082192,13,0,4.6562
2020-02-12,210.76,210.83800000000002,28.871232876712327,14,0,4.6114
2020-02-13,213.14,211.29599999999996,29.197260273972603,15,0,4.6496
2020-02-14,214.18,211.666,29.339726027397262,15,0,4.4804
2020-02-18,217.8,212.61399999999998,29.835616438356166,25,0,4.4871
2020-02-19,217.49,214.67399999999998,29.793150684931508,25,0,4.3245
2020-02-20,214.58,215.43800000000002,29.39452054794521,27,0,4.4313
2020-02-21,210.18,214.846,28.79178082191781,30,0,4.5254
2020-02-24,200.72,212.154,27.495890410958904,43,0,5.0601
2020-02-25,196.77,207.94800000000004,26.954794520547946,45,0,5.2376
2020-02-26,197.2,203.89000000000004,27.013698630136986,60,0,5.2721
2020-02-27,189.75,198.92400000000004,25.993150684931507,60,0,5.4455
2020-02-28,192.47,195.382,26.365753424657534,65,0,5.8366
2020-03-02,196.44,194.52599999999998,26.90958904109589,104,6,5.9711
2020-03-03,185.89,192.35,25.464383561643835,125,10,6.4924
2020-03-04,191.76,191.262,26.268493150684932,161,12,6.4530
2020-03-05,185.17,190.346,25.365753424657534,228,12,6.5542
2020-03-06,181.09,188.07,24.806849315068494,311,15,6.7225
2020-03-09,169.5,182.682,23.21917808219178,748,26,7.3780
2020-03-10,178.19,181.142,24.40958904109589,1018,31,7.4789
2020-03-11,170.24,176.83800000000002,23.32054794520548,1263,37,7.6968
2020-03-12,154.47,170.69800000000004,21.16027397260274,1668,43,8.2827
2020-03-13,170.28,168.536,23.326027397260276,2224,50,8.8568
2020-03-16,146.01,163.83800000000002,20.001369863013696,4507,91,10.1656
2020-03-17,149.42,158.084,20.46849315068493,5906,117,10.4352
2020-03-18,146.96,153.428,20.13150684931507,8350,162,10.5698
2020-03-19,153.13,153.16,20.976712328767125,12393,212,10.8955
2020-03-20,149.73,149.05,20.51095890410959,18012,277,10.9222
2020-03-23,148.1,149.468,20.28767123287671,43505,579,10.8607
2020-03-24,160.98,151.78,22.052054794520547,53938,785,11.0285
2020-03-25,156.21,153.63,21.398630136986302,68572,1054,10.9500
2020-03-26,163.34,155.672,22.375342465753427,85570,1353,10.7243
2020-03-27,156.79,157.084,21.47808219178082,102900,1770,10.5718
2020-03-30,165.95,160.65400000000002,22.732876712328768,163955,3368,10.5281
2020-03-31,166.8,161.818,22.84931506849315,188461,4304,10.2568
2020-04-01,159.6,162.496,21.863013698630137,215391,5325,10.1503
2020-04-02,158.19,161.46599999999998,21.66986301369863,245108,6541,9.8132
2020-04-03,154.18,160.94400000000002,21.12054794520548,277426,7932,9.6380
2020-04-06,165.55,160.86399999999998,22.678082191780824,369056,12382,9.8081
2020-04-07,168.83,161.27,23.127397260273973,399394,14616,9.6675
2020-04-08,174.28,164.206,23.873972602739727,431213,16701,9.4956
2020-04-09,175.19,167.60600000000005,23.9986301369863,465909,18821,9.2109
2020-04-13,174.79,171.728,23.943835616438356,584018,26613,8.9630
2020-04-14,178.17,174.252,24.40684931506849,610709,29318,8.7824
2020-04-15,176.97,175.87999999999997,24.242465753424657,640742,32070,8.5386
2020-04-16,176.25,176.27399999999997,24.143835616438356,672355,34418,8.3245
2020-04-17,179.24,177.084,24.553424657534247,703862,36707,8.0177
2020-04-20,178.24,177.774,24.416438356164385,784926,42016,7.7114
2020-04-21,170.8,176.3,23.397260273972606,810434,44688,7.8677
2020-04-22,182.28,177.36200000000002,24.96986301369863,839266,47059,8.3043
2020-04-23,185.13,179.138,25.36027397260274,873039,49228,8.0519
2020-04-24,190.07,181.304,26.03698630136986,909777,51360,8.1614
2020-04-27,187.5,183.156,25.684931506849317,994110,56022,8.0313
2020-04-28,182.91,185.578,25.056164383561644,1018741,58416,7.9319
2020-04-29,194.19,187.96,26.601369863013698,1045298,60930,8.3653
2020-04-30,204.71,191.87599999999998,28.042465753424658,1075637,63140,8.8749
2020-05-01,202.27,194.316,27.708219178082192,1109601,64902,8.8289
2020-05-04,205.26,197.868,28.11780821917808,1187176,68905,8.7092
2020-05-05,207.07,202.7,28.365753424657534,1210881,71139,8.4529
2020-05-06,208.47,205.55599999999998,28.557534246575344,1235366,73847,8.2019
2020-05-07,211.26,206.86599999999999,28.93972602739726,1263839,75805,7.8397
2020-05-08,212.35,208.882,29.089041095890412,1291482,77380,7.4482
2020-05-11,213.18,210.46599999999998,29.2027397260274,1354286,80747,7.2469
2020-05-12,210.1,211.07199999999997,28.78082191780822,1376585,82400,7.1061
2020-05-13,205.1,210.398,28.095890410958905,1397726,84168,7.2178
